en,es
That song sounds familiar to me.,Esa canción me resulta conocida.
The clock ticked.,El reloj hizo tictac.
I don't know whether he will come or not.,No sé si vendrá o no.
You may choose one of them.,Podéis elegir uno.
She must have studied very hard.,Ella debe haber estudiado muy duro.
Tom thinks he's in love.,Tom cree que está enamorado.
I wonder how long it's going to take.,Me pregunto cuánto tiempo tardará.
He has gone to London.,Él se fue a Londres.
"You can believe what you want to about me, but that doesn't mean it's true.","Puedes creer todo lo que quieras de mí, pero eso no significa que sea cierto."
Maryam is well behaved.,Maryam se porta bien.
She nodded in response to my question.,Ella asintió en respuesta a mi pregunta.
She panhandles for money.,Ella mendiga dinero.
"Unfortunately, we don't have what you want.","Desafortunadamente, no tenemos lo que quieren."
I'm just curious.,Solo tengo curiosidad.
Should I be jealous?,¿Debería ser celoso?
His technique was absolutely amazing.,Su técnica era absolutamente increíble.
I realized how rare happy people were.,Comprendí lo rara que eran las personas felices.
That's the same story as I heard when I was a child.,Esa es la misma historia que escuché cuando era un niño.
"With such friends, one needs no enemies.",Con amigos así no hacen falta enemigos.
He writes to his mother every now and then.,Él le escribe a su madre de vez en cuando.
Tom doesn't want to do anything but watch TV.,Tom no quiere hacer nada más que ver la televisión.
That's why we didn't attack.,Es por eso que no atacamos.
Tom went to visit Mary in the hospital.,Tom fue a visitar a Mary al hospital.
I am curious.,Quiero saberlo.
When do we arrive?,¿En cuánto tiempo vamos a llegar?
My father gave me a watch for my birthday.,Mi padre me regaló un reloj para mi cumpleaños.
She gave birth to a healthy baby.,Ella parió un bebé sano.
Tom was hiding behind the curtain.,Tom estaba escondido atrás de la cortina.
This website is very useful.,Este sitio es muy útil.
This road connects the two cities.,Este camino une a las dos ciudades.
The train wasn't as crowded as I thought it would be.,El tren no estaba tan lleno de gente como yo pensaba.
I don't blame them.,No los culpo.
The patient has no pulse.,El paciente no tiene pulso.
She has been absent from school for five days.,Ella no ha ido al colegio desde hace cinco días.
He lived there completely alone.,Él vivía allá por sí solo.
It is easy to play tennis.,Jugar tenis es fácil.
I have just what you need.,Tengo justo lo que ustedes necesitan.
"I have a good sense of direction, so I don't get lost.","Tengo un buen sentido de la orientación, así que no me pierdo."
I was surprised to see a lion.,Me sorprendió ver un león.
The Allies wasted no time.,Los Aliados no perdieron tiempo.
You've got to be kidding me!,¡Tienes que estar de coña!
I don't think Tom will want to go with us.,No creo que Tom quiera venir con nosotros.
The last one is the best.,La última es la mejor.
They have already finished the work.,Ellos ya terminaron el trabajo.
He retires next spring.,Él se jubila la próxima primavera.
Tom was scared of me.,Tomás me tenía miedo.
Read this first.,Lean esto primero.
"Since she got her braces, I've hardly seen her smile.",Yo apenas si la he visto sonreír desde que se puso frenillos.
"Coffee, please, with cream and sugar.","Un café con azúcar y nata, por favor."
They felt he was too weak.,Ellos sintieron que él era demasiado débil.
We had an early lunch at school.,Almorzamos temprano en el colegio.
No one will know.,Nadie sabrá.
"When you can't do what you want, you do what you can.","Cuando no se puede hacer lo que se quiere, se hace lo que se puede."
"If UFOs were to attack the earth, what would become of us?","Si los OVNIs fueran a atacar la Tierra, ¿qué sería de nosotros?"
The old man looks sad.,El anciano parece triste.
I put my suitcase down.,Bajé mi maleta.
Do you have fire insurance?,¿Tienes seguro contra incendios?
How old is your uncle?,¿Qué edad tiene vuestro tío?
The policeman whistled for the car to stop.,El policía sopló su silbato para hacer parar al auto.
She really likes cats a lot.,A ella realmente le encantan los gatos.
I just like to daydream.,Me encanta hacerme ilusiones.
I have the house all to myself.,Tengo toda la casa para mí sola.
Tom read the letter aloud.,Tom leyó la carta en voz alta.
She asked me if she could use the phone.,Ella me preguntó si podía usar el teléfono.
"What would you like for lunch? ""It doesn't matter, whatever you've got.""","«¿Qué quieres de comida?» «Me da igual, lo que tengas por ahí.»"
I guess Tom forgot to tell you.,Supongo que a Tom se le olvidó decirte.
I like to travel.,Me gusta viajar.
The station was deserted.,La estación estaba desierta.
Does this bus go to the center of town?,¿Este colectivo va al centro de la ciudad?
His poor dog is still alive.,Su pobre perro está todavía vivo.
Tom's house is for sale.,La casa de Tom está a la venta.
A bystander videotaped the police beating using their cell phone.,Un viandante grabó en vídeo con un teléfono móvil la paliza de la policía.
He will be angry to learn that she told a lie.,Él estará furioso cuando se entere que ella mintió.
You still have time.,Todavía tenéis tiempo.
Tom has arrived in Boston already.,Tom ya llegó a Boston.
I've learned to trust them.,He aprendido a confiar en ellos.
Everyone in town knows his name.,"En la ciudad, todos conocen su nombre."
"If I were you, I would try to be successful.","Si fuera tú, trataría de tener éxito."
Tom's dangerous.,Tom es peligroso.
I'll be seventeen next year.,Cumpliré diecisiete el año próximo.
Try and do it.,Intenta hacerlo.
Tom knows how to handle a rifle.,Tom sabe como manipular un rifle.
Being aware of what and how much we eat is essential to good health.,Tener cuidados sobre qué y cuánto comemos es esencial para una buena salud.
My grandfather goes to mass every Sunday.,Mi abuelo va a misa cada domingo.
I'm moving to Boston.,Me mudo a Boston.
Tom doesn't want to talk about his private life.,Tom no quiere hablar de su vida privada.
It looks appetizing.,Tiene buena pinta.
Stop pulling my hair!,¡Deja de tirarme el pelo!
He greeted the lady.,Él saludó a la dama.
She danced with a grace that surprised us all.,Ella bailó con una gracia que nos sorprendió a todos.
Why do you know so much about Australia?,¿Por qué sabes tanto de Australia?
Don't worry. We're not going to leave you.,No te preocupes. No vamos a abandonarte.
This book is yours.,Este libro es tuyo.
Hang your clothes here.,Cuelgue usted aquí sus ropas.
Tell Tom we want to talk with him.,Decile a Tom que queremos hablar con él.
It was very cold that evening.,Hizo mucho frío esa noche.
He was ignorant of the fact.,Él ignoraba el hecho.
This is the coffee shop I first met my wife in.,Este es el café en donde conocí a mi esposa.
The toilet is upstairs.,El baño está al subir las escaleras.
Tom said he heard three gunshots that night.,Tom dijo que escuchó tres tiros esa noche.
"You did warn Tom, didn't you?","Tú se lo advertiste a Tom, ¿no es cierto?"
Please come home as quickly as possible.,Por favor vuelve a casa tan rápido como puedas.
Tom is ridiculous.,Tom es ridículo.
"In the old days, every child could tell the difference between good and bad.","Antiguamente, todos los niños sabían cuál era la diferencia entre bueno y malo."
I'm very worried about my weight.,Estoy muy preocupada por mi peso.
I think you should tell Tom that.,Creo que deberías decirle eso a Tom.
They look smashing.,Se ven estupendos.
You can't blame them.,No podéis culparlos.
Tom denied he was involved in the murder.,Tom negó que estuviese involucrado en el homicidio.
"If you have a question, please raise your right hand.","Si tienes una pregunta, por favor alza tu mano derecha."
Mary looks like her mother.,María se parece a su madre.
What's the good news?,¿Cuál es la buena noticia?
Did you like it?,¿Les gustó?
Can you speak French?,¿Podés hablar en francés?
Every house had a garden.,Cada casa tenía un jardín.
Tom depends too much on Mary.,Tom depende demasiado de Mary.
That changed everything.,Eso cambió todo.
"You know why I'm here, right?","Tú sabes por qué estoy aquí, ¿cierto?"
Tom went pale.,Tom palideció.
Please attend my birthday party.,"Por favor, ven a mi fiesta de cumpleaños."
I have nothing to say with regard to that problem.,No tengo nada que decir sobre este asunto.
I know I've told you this before.,Sé que te he dicho esto antes.
Tom was named the head of the organization after the director retired.,Tom fue nombrado líder de a organización después de que el director se retirara.
He had his shirt on inside out.,Él tenía la camisa al revés.
They found Tom.,Encontraron a Tom.
Try to keep from crying.,Trata de no llorar.
I did something wrong.,Hice algo malo.
Why are you all sad?,¿Por qué están todos tristes?
The prince was changed into a tree by magic.,El príncipe fue cambiado en árbol por magia.
I ordered new furniture.,Encargué nuevos muebles.
The house collapsed a week later.,La casa se derrumbó una semana después.
It is strange that he has not come yet.,Es raro que él no haya venido aún.
I know the real reason for his absence.,Sé la verdadera razón por la que se ausenta.
She's never fallen in love.,Ella nunca se ha enamorado.
I thought Tom would ask Mary to go with him to Boston.,Pensé que Tom le pediría a María ir con él a Boston.
He doesn't want it.,Él no la quiere.
What does Tom think of Mary?,¿Qué piensa Tom de Mary?
I still hate you.,Todavía te odio.
What language do they speak in the United States?,¿Qué idioma se habla en los Estados Unidos?
Tom wouldn't lie to me.,Tom no me mentiría.
Tom was never really in love with Mary.,Tom nunca estuvo realmente enamorado de Mary.
Tom took off his jacket and hung it up.,Tom se sacó la chaqueta y la colgó.
We're going to fight.,Vamos a luchar.
Tom looks like his father.,Tom se parece a su padre.
This is so easy.,Esto es tan fácil.
What's Tom like?,¿Cómo es Tom?
He sat next to her.,Él se sentó junto a ella.
He is teaching Arabic.,Él está enseñando árabe.
Tom joined us.,Tom se unió a nosotras.
Did you vote for Romney or Obama?,¿Votaste por Romney o por Obama?
I frequently think about my mother who passed away.,A menudo yo pienso en mi difunta madre.
Tom had three failed marriages.,Tom tuvo tres matrimonios fallidos.
Could you drive more slowly?,¿Podrías conducir más despacio?
"At first we used to go separately, but one day we started going and returning together.","Al principio solíamos ir por separado, pero un día empezamos a ir y volver juntos."
I study French at home.,Estudio francés en casa.
Tom was too shy to take part in games with the other boys.,Tom era demasiado tímido para participar en juegos con los otros chicos.
I gave Tom all the money I had on me.,Le di a Tom todo el dinero que llevaba conmigo.
Ask her what she bought.,Pregúntale lo que ha comprado.
She is in a very good mood.,Ella tiene buen humor.
I want you to get your own place.,Quiero que te consigas tu propio lugar.
You didn't need to hurry. You got here too early anyway.,"No hacía falta que te dieras prisa. De todos modos, has llegado demasiado pronto."
Is Tom a good kisser?,¿Es Tom bueno besando?
I've got a frog in my throat.,Tengo una rana en mi garganta.
The hunter shot at a deer.,El cazador le disparó a un ciervo.
I never make my bed.,Nunca hago la cama.
It wasn't real love.,No era amor verdadero.
She advised him to go there.,Le aconsejó que fuera allá.
Tom crosses this bridge at least once a week.,Tom cruza este puente al menos una vez a la semana.
Tom won't answer.,Tom no va a responder.
Someone has to tell Tom what happened to Mary.,Alguien le tiene que decir a Tom lo que le ocurrió a Mary.
Would you show us some samples of your work?,¿Nos puedes enseñar algunas muestras de tu trabajo?
He is a clever boy.,Él es un niño astuto.
The bus is slow.,El autobús es lento.
She looked around in wonder.,Ella miró alrededor con asombro.
I have a craving for fresh fruit.,Tengo un antojo de fruta fresca.
Why do the five yen coin and the fifty yen coin have holes in the center?,¿Por qué las monedas de cinco y cincuenta yenes tienen un agujero en el centro?
I look like my father.,Me parezco a mi padre.
They stayed friends.,Ellos siguieron siendo amigos.
We like him.,Él nos agrada.
Maybe Tom didn't see Mary.,Puede que Tom no haya visto a María.
What time will Tom be arriving?,¿A qué hora va a llegar Tom?
What time was she born?,¿A qué hora nació ella?
Does your friend like tea?,¿A tu amiga le gusta el té?
What a fool I am to think that she loves me!,¡Qué tonto soy al pensar que ella me ama!
"She wanted to return home, but she got lost.","Ella quería volver a casa, pero se perdió."
I am peeling apples.,Estoy pelando manzanas.
He is too wise not to know that.,Él es demasiado inteligente para no saberlo.
Why are you angry with me?,¿Por qué estás cabreada conmigo?
Do you have any gum?,¿Tienes algo de goma de mascar?
I'll stay at home today.,Hoy me quedaré en casa.
That fact can't be denied.,Ese hecho no puede ser negado.
Who else knows about this?,¿Quién más sabe acerca de esto?
I went into the army.,Me uní al ejército.
You won't get a second chance.,No tendrás una segunda oportunidad.
I was born here.,Nací aquí.
He has a good knowledge of French.,Él tiene un buen dominio del francés.
Who are these two boys?,¿Quiénes son estos dos chicos?
There's a fine line between genius and stupidity.,Hay una fina línea entre genialidad y estupidez.
I don't know either.,Yo tampoco sé.
I don't want to wait so long.,No quiero esperar tanto.
You're very wise.,Sos muy sabia.
What do you want to do today?,¿Qué quieres hacer hoy?
Do you live alone?,¿Vives sola?
Don't smoke in this room.,No fume en este cuarto.
"Please, tell me.","Dímelo, por favor."
Who's your teacher?,¿Quién es vuestro profesor?
I no longer work here.,Ya no trabajo aquí.
She stopped sewing and had some tea.,Ella dejó de coser y tomó un poco de té.
I want a good dictionary.,Quiero un buen diccionario.
Is there a telephone anywhere?,¿Hay un teléfono en alguna parte?
We lack nothing.,No nos falta de nada.
Do you think this is stupid?,¿Crees que es estúpido?
"Listen to me, will you?","Escúchame, ¿quieres?"
The drinks were free.,Las bebidas eran gratis.
I want you to go to the post office.,Quiero que vayas a la oficina de correos.
I have to work tomorrow.,Tengo que trabajar mañana.
"I have a test today, too.",Yo también tengo prueba hoy.
Classes are starting again soon.,Las clases empiezan pronto de nuevo.
I'm a photographer.,Soy fotógrafo.
I don't need anything from you.,No necesito nada de usted.
They are about the same age.,Ellos tienen más o menos la misma edad.
You must make an effort to get along with everyone.,Tienes que hacer un esfuerzo y llevarte bien con todos.
The dog is smart.,El perro es listo.
He is acting on his own behalf.,Él está actuando en nombre propio.
Why do you like Boston?,¿Por qué te gusta Boston?
Seven policemen were killed.,Siete policías fueron asesinados.
I can do it without your help.,Puedo hacerlo sin vuestra ayuda.
I didn't know that you knew Tom.,No sabía que conocías a Tom.
What are you so happy about?,¿Por qué estás tan feliz?
Mother left some of the food for me.,Mamá me dejó un poco de comida.
Tom introduced me to his roommate.,Tom me presentó a su compañero de habitación.
I still hate you.,Aún te detesto.
I addressed the letter to my aunt.,Dirigí la carta a mi tía.
This is outstanding.,Esto es sobresaliente.
He hung up.,Él cogió el teléfono.
Tom knows the stakes.,Tom conoce las consecuencias.
I've never heard Tom cry.,Nunca he oído llorar a Tom.
I'll visit my uncle next week.,Voy a visitar a mi tío la semana que viene.
You must conquer your fear of the dark.,Debes conquistar tu miedo a la oscuridad.
I'm in jail.,Estoy en la cárcel.
We had fish for supper last night.,Cenamos pescado anoche.
Thanks in advance.,Gracias por adelantado.
I don't want to hear any slurping.,No quiero oír sorbeteos.
Tom says that he and Mary will spend Christmas Day together.,Tom dice que él y Mary pasarán juntos el día de Navidad.
Can he speak Japanese?,¿Él sabe hablar japonés?
Do you know where he bought his camera?,¿Sabes dónde compró su cámara?
I'm calling you.,Te estoy llamando.
He gets a good salary.,Él cobra un buen sueldo.
Everybody looks surprised and a little confused.,Todos parecen sorprendidos y algo confusos.
Tom turned 13.,Tom cumplió 13 años.
Most Swiss citizens speak two or three languages.,La mayoría de los ciudadanos suizos hablan dos o tres lenguas.
I got a good grade in English.,Tuve una buena nota en inglés.
"As far as I know, this is the latest edition.","Hasta donde yo sé, esta es la edición más nueva."
"Without his glasses, he is as blind as a bat.",Sin sus gafas él ve menos que un topo.
I think that that book is not so interesting.,Creo que ese libro no es tan interesante.
I like fruit such as grapes and peaches.,Me gustan las frutas tales como uvas y duraznos.
You're the greatest.,Eres el mejor.
I can get one of those any time I want.,Puedo conseguir uno de esos cuando sea.
You wait and see.,Espera y verás.
Did Tom say when he'd come to visit?,¿Dijo Tom cuándo vendría de visita?
I like French food very much.,Me gusta mucho la comida francesa.
We've been working hard on this.,Hemos estado trabajando duro en esto.
I simply don't trust Tom.,Sencillamente no confío en Tom.
I have cancer.,Yo tengo cáncer.
We don't know when this world came into being.,No sabemos cuándo comenzó a existir este mundo.
We want justice.,Queremos justicia.
Everyone liked Tom.,Todos querían a Tom.
Tom can't even read.,Tom no sabe ni leer.
I feel so lost.,Me siento tan perdido.
My grandfather's picture is on the wall.,El cuadro de mi abuelo está colgado en la pared.
May I sit next to you?,¿Me puedo sentar cerca de ustedes?
You should've learned that in school.,Debiste haber aprendido eso en el colegio.
Japanese flags were flying.,Banderas japonesas ondeaban.
I am going to Tokyo tomorrow.,Mañana voy a Tokyo.
Please return the book when you have finished reading it.,"Por favor, devuelve el libro cuando hayas terminado de leerlo."
He died of lung cancer.,Él murió de cáncer de pulmón.
He was a good king.,Fue un buen rey.
Tom is asleep.,Tom está dormido.
You can't leave Tom behind.,No puedes dejar atrás a Tom.
Tom knew that Mary was throwing a party.,Tom sabía que Mary estaba dando una fiesta.
May I have a talk with you?,¿Puedo hablar contigo?
It takes us five minutes to walk through the tunnel.,Nos toma cinco minutos atravesar caminando el túnel.
Get lost!,¡Vete ya!
There's no space in the room for another bed.,En la habitación no hay espacio para otra cama.
Sanitary conditions in the refugee camps were terrible.,Las condiciones sanitarias en los campamentos de refugiados eran horribles.
What do you conclude from that?,¿Qué concluyes a partir de eso?
Tom didn't want any of his friends to know that he was a drug dealer.,Tom no quería que sus amigos supieran que era camello.
"Which do you like better, the Giants or the Dragons?",¿Qué prefieres: los Gigantes o los Dragones?
"I was unwilling to agree to the proposal, but it seemed that I had no choice.","Estaba indispuesto a aceptar la propuesta, pero parecía que no tenía alternativa."
Let's go fishing.,Vayamos a pescar.
"She asked him to come into her house, but he refused.","Le pidió que entrara a su casa, pero él se negó."
We have little money available for the research.,Nosotros tenemos pocos fondos disponibles para la investigación.
I have been to America twice.,Estuve dos veces en los Estados Unidos.
Only a few people came to the meeting yesterday.,Solo unas pocas personas vinieron ayer a la reunión.
"Tom tried to warn Mary, but she ignored him.","Tom trató de advertirle a Mary, pero ella lo ignoró."
Success breeds success.,El éxito produce éxito.
Tom has been suspended without pay.,Tom fue suspendido sin goce de sueldo.
It is of great use.,Es muy útil.
I'm not a very good carpenter.,No soy muy buen carpintero.
I know it hurts.,Sé que duele.
Nobody came.,No vino nadie.
We are forty kilometers away from the capital city.,Estamos a cuarenta kilómetros de la capital.
Tom didn't tell Mary everything.,Tom no le contó todo a María.
Why are you so secretive?,¿Por qué eres tan misterioso?
Tom wanted to buy a new pair of boots.,Tom quería comprar un nuevo par de botas.
Do you think Tom will succeed?,¿Crees que Tom tendrá éxito?
Wash your face and hands.,Lavate la cara y las manos.
I have already finished reading this book.,Ya he acabado de leer este libro.
He likes adventure.,Le gustan las aventuras.
The prince was changed into a frog.,El príncipe fue convertido en rana.
"Hey, you! What are you doing?",¡Oye tú! ¿Qué estás haciendo?
Just do your best.,Solo hazlo lo mejor que puedas.
Tom gave Mary a pat on the shoulder.,Tom le dio una palmada en el hombro a Mary.
I don't have enough money to buy it.,No tengo suficiente dinero para comprarlo.
There is a possibility that we won't have to shut down the factory.,Hay una posibilidad de que no tengamos que clausurar la fábrica.
Try to be more punctual from now on.,Trate de ser más puntual de ahora en adelante.
Is this yours?,¿Es suyo esto?
He makes it a rule to take a walk every morning.,Tiene la costumbre de dar un paseo cada mañana.
How do I get to the city?,¿Cómo llego a la ciudad?
I have to give the money back to Tom.,Le tengo que devolver el dinero a Tomás.
Tom decided to sell one of his cars to Mary.,Tom decidió venderle uno de sus autos a Mary.
What's the hurry?,¿Cuál es el apuro?
We're back from Australia.,Regresamos de Australia.
Tom doesn't have any classes today.,Tom no tiene clases hoy.
Are you 18?,¿Tienes dieciocho?
I felt very relieved when I heard the news.,Me sentí muy aliviado cuando oí las noticias.
You look tired.,Usted se ve cansado.
Tom does a pretty good job concealing his pain.,Tom sabe ocultar bien su dolor.
"My wife usually doesn't drink coffee at night, and neither do I.","Mi esposa normalmente no bebe café por la noche, y yo tampoco."
No one was in the swimming pool.,No había nadie en la piscina.
Where does this road lead?,¿A dónde conduce este camino?
I know who you want to talk to.,Sé con quién quieres hablar.
When do you put up your Christmas tree?,¿Cuándo colocas tu árbol de Navidad?
Tom was dizzy.,Tom estaba mareado.
I'll show you how to separate gold from sand.,Te mostraré cómo separar el oro de la arena.
Get Tom to help you.,Haz que Tom te ayude.
I know when I'm not needed.,Yo sé cuándo no me necesitan.
We have equipped our office with computers.,Hemos equipado nuestra oficina con computadoras.
She's forgotten how to do it.,Ha olvidado cómo se hace.
Tom vanished.,Tomás desapareció.
Tom and Mary are about the same height.,Tom y Mary tienen más o menos la misma altura.
Start here.,Empieza aquí.
Please put those chairs away.,Guarde esas sillas por favor.
It is a little cold.,Es un pequeño resfriado.
We have to encourage people to join the campaign and work with us.,Tenemos que animar a la gente a unirse a la campaña y a trabajar con nosotros.
I can't resist her.,No puedo con ella.
Tom showed Mary the way.,Tom le mostró el camino a Mary.
Stay here with us.,Quédense aquí con nosotras.
Tom opened the door for Mary.,Tom abrió la puerta a Mary.
What does your job entail?,¿En qué consiste tu trabajo?
I will tell you the rest tomorrow.,Te diré el resto mañana.
Nobody answered.,Nadie respondió.
What are my chances of surviving?,¿Cuáles son mis oportunidades de sobrevivir?
I have looked for it up and down.,Lo busqué por todos lados.
You are overworked.,Te trabajan durísimo.
She is used to cooking.,Está acostumbrada a cocinar.
He's a liar.,Él es un mentiroso.
"If it hadn't been for you, he would still be alive.","Si no hubiese sido por ti, él todavía estaría vivo."
Tom and Mary are teachers.,Tom y Mary son maestros.
Please accept my heartfelt apology.,"Por favor, acepta mi sincera disculpa."
Boston is where I want to go.,Adonde quiero ir es a Boston.
You're the most beautiful woman in the whole world.,Eres las mujer más bella en todo el mundo.
"The moment he saw me, he grew pale and ran away.",En cuanto me vio palideció y se fue corriendo.
We'll do it live.,Lo haremos en vivo.
He knows the truth.,Él conoce la verdad.
Stay still.,Quieto.
What do you say we go skiing?,¿Qué te parece si vamos a esquiar?
Tom said that he was in a hurry.,Tom decía que tenía prisa.
This is not important.,No es importante.
That's true.,Eso es cierto.
We needn't have hurried.,No necesitábamos apresurarnos.
She sent him a postcard from Boston.,Le envió una postal desde Boston.
I'm a little busy now.,Ahora mismo estoy un poco ocupado.
I have to return this book today.,Tengo que devolver hoy este libro.
You should be able to read this book easily.,Deberías ser capaz de leer este libro con facilidad.
How come you're always so energetic?,¿Cómo es que tú eres siempre tan energético?
Several of my friends have been to Japan this year.,Algunos de mis amigos han estado en Japón este año.
Tom got custody of his son.,Tom consiguió la custodia de su hijo.
I lost my dog.,Perdí a mi perro.
Your shoes are here.,Sus zapatos están aquí.
Everyone's reading.,Todos están leyendo.
How would you feel if your wife left you?,¿Cómo te sentirías si te dejara tu mujer?
He went fishing in the river.,Fue a pescar al río.
"When he came to, he was lying in the park.","Cuando volvió en sí, estaba tirado en el parque."
We don't have time.,No tenemos tiempo.
Investigators are running a probe into what caused the crash.,Los científicos están realizando una investigación para saber lo que causó el accidente.
I know you'll make the right decision.,Sé que tomarás la decisión correcta.
My brother gave me a cute doll.,Mi hermano me dio un muñeco adorable.
"Will it stop raining soon? ""I'm afraid not.""","¿Dejará de llover pronto? ""Me temo que no."""
We've been tricked.,Se nos ha engañado.
Do you want to be rich?,¿Quieres ser rico?
Mary is the woman of my dreams.,Mary es la mujer de mis sueños.
I can get you fired.,Puedo conseguir que te despidan.
The doll lay on the floor.,La muñeca estaba tirada en el piso.
Many foreign language students dream of speaking like a native.,Muchos estudiantes extranjeros sueñan con hablar como un nativo.
It is time to study Japanese.,Es hora de estudiar japonés.
We're having breakfast.,Estamos desayunando.
You're already big enough to do it by yourself.,Eres lo suficientemente grande para hacerlo por ti mismo.
Don't make noise.,No hagan ruido.
I couldn't get the point of his speech.,No pude entender el fondo de su discurso.
She changed the subject.,Ella cambió de tema.
Tom was embarrassed.,Tom estaba avergonzado.
He had no hat on.,Él no llevaba sombrero.
He received cheers and applause.,Él recibió ovaciones y aplausos.
Welcome to my home.,Bienvenida a mi hogar.
Tom stopped looking for the treasure and went back home.,Tom dejó de buscar el tesoro y volvió a casa.
Tom is useless.,Tomás es un cero a la izquierda.
She has snow-white skin.,Su piel es blanca como la nieve.
"Four of my favorite Christmas carols are ""Silent Night,"" ""Joy to the World,"" ""The First Noel"" and ""Away in the Manger.""","Cuatro de mis villancicos favoritos son ""Noche de Luz,"" ""¡Regocijad! Jesús Nació,"" ""La Primera Navidad"" y ""Jesús en Pesebre."""
Is the exhibit open to the public?,¿La exposición está abierta al público?
I'm off to Turkey tomorrow.,Voy a Turquía mañana.
He arrived here last night.,Él llegó aquí anoche.
I think I've got something you might want.,Creo que tengo algo que puede que quieras.
Would you like to eat something?,¿Quieres comer algo?
Let's make a phone call.,Hagamos una llamada.
Tom thought he heard a mouse in the kitchen.,Tom creyó haber oído un ratón en la cocina.
I would like to hear your opinion.,Me gustaría oír su opinión.
Your name sounds familiar to me.,Tu nombre me resulta familiar.
He has just bought a used car.,Acaba de comprarse un coche de segunda mano.
Help yourself to a piece of cake.,Servíos un trozo de pastel.
Do you like to be alone?,¿Les gusta estar solas?
People in the village still talked about the horrible way Tom had died.,La gente en la villa todavía hablaba de la forma horrible en que Tom había muerto.
Tom leaned over and picked the coin up.,Tom se inclinó y recogió la moneda.
I pretended I didn't understand.,Fingí no entender.
It failed.,Falló.
Will you go by train?,¿Irás en tren?
I can handle it.,Puedo apañármelas.
When did all this happen?,¿Cuándo pasó todo esto?
Are you embarrassed?,¿Tenés vergüenza?
The toilet doesn't flush.,La cisterna no tiene agua.
I used to think it didn't really matter what I fed my dog.,Yo solía pensar que no importaba que le diera de comer a mi perro.
I don't love you anymore.,Ya no te quiero.
Three of the men involved in the accident were hospitalized.,Tres de los hombres implicados en el accidente fueron hospitalizados.
I'd like to treat you to lunch to thank you for all your help.,Me gustaría invitarte a almorzar en agradecimiento por toda tu ayuda.
Where's this place?,¿Dónde está este sitio?
It took me two hours to reach Yokohama.,Me tomó dos horas llegar a Yokohama.
Don't you have anything to do?,¿No tienes nada que hacer?
There is only one bus every two hours.,Hay un solo bus cada dos horas.
He was buried in this graveyard.,Él fue enterrado en este cementerio.
You will need a key.,Necesitarás una llave.
This page has been intentionally left blank.,Esta página fue dejada en blanco intencionalmente.
The police shot Tom's tires out.,El policía le reventó los neumáticos a Tom de un tiro.
He's a creationist.,Él es creacionista.
I've got some chores to do.,Tengo algunas labores que hacer.
Hurry up. You'll be late for school.,Apresúrate. Vas a llegar tarde al colegio.
He stared at her with hatred.,Él la miró fijamente con odio.
I forgot to buy a gift for you.,Yo olvidé comprar un regalo para ti.
Tom needs to renew his passport before the fifteenth of next month.,Tom necesita renovar su pasaporte antes del quince del próximo mes.
Tom never could hide a secret from Mary.,Tom nunca pudo ocultar un secreto a Mary.
Japan had defeated Russia in a war in 1905.,Japón había derrotado a Rusia en una guerra en 1905.
"Apart from a few minor mistakes, your composition was excellent.","Quitando unos poco errores leves, tu redacción fue excelente."
He's not sick.,No está enfermo.
My father is a bit old-fashioned.,Mi padre es un poco anticuado.
Most people in the village objected to the plan.,La mayoría de las personas en la villa se rehusaron al plan.
Tom doesn't know Mary very well.,Tom no conoce muy bien a Mary.
He lost his life in a traffic accident.,Él perdió la vida en un accidente de tráfico.
"Let's begin, then.",Entonces empecemos.
"In 1979, Mother Teresa won the Nobel Peace Prize.","En 1979, la Madre Teresa recibió el premio Nobel de la paz."
Coal is not always black.,El carbón no es siempre negro.
I'm not frightened of ghosts.,Yo no les temo a los fantasmas.
"You're not jealous, are you?","No están celosas, ¿o sí?"
I only saw the apple.,Solo vi la manzana.
Tom has to go.,Tom tiene que ir.
No one should desert his friends.,Nadie debe abandonar a sus amigos.
Will you go with us?,¿Vendréis con nosotras?
I feel better.,Me siento mejor.
You deserve a present.,Te mereces un regalo.
Tom ate dinner by himself.,Tom cenó solo.
She talked as she walked.,Ella habló mientras caminaba.
You look beautiful.,Estás guapa.
The missionaries civilized the natives.,Los misioneros civilizaron a los indígenas.
Aren't you forgetting something?,¿No te estás olvidando algo?
I apologize.,Le pido disculpas.
Something unusual happened last night.,Pasó algo inusual anoche.
As you like.,Como quieras.
He ate rice twice a day for many years.,Él ha comido arroz dos veces al día durante muchos años.
Tom can speak French.,Tomás puede hablar en francés.
"If you can't read, it's not my fault.",No es culpa mía que no sepáis leer.
"When he was 14, he started to plant strawberries.","Cuando tenía 14 años, él empezó a plantar frutillas."
Which instruments do you play?,¿Qué instrumentos tocas?
I read a letter.,He leído una carta.
She worked for several hours.,Ella trabajó durante varias horas.
I've seen loads of concerts.,He visto muchísimos conciertos.
This dog is yours.,Este perro es tuyo.
I'm very happy for you.,Me alegro mucho por ti.
I've put on a lot of weight since Christmas.,He engordado mucho desde Navidad.
The plane took off at seven.,El avión despegó a las siete.
"When angry, count to four. When very angry, swear.","Cuando esté enfadado, cuente hasta cuatro. Cuando esté muy enfadado, maldiga."
Tom took his socks off.,Tom se quitó los calcetines.
We just need more time.,Sólo necesitamos más tiempo.
The building on the hill is our school.,El edificio en la colina es nuestra escuela.
